timestamp,asset,action,shares,price,pnl
2026-03-26T21:19:06.405103400+00:00,ETH,BUY_DOWN,57.7974,0.3900,0.0000
2026-03-26T21:19:06.519840200+00:00,SOL,BUY_UP,10.0160,0.5000,0.0000
2026-03-26T21:19:12.345828800+00:00,XRP,BUY_DOWN,69.7126,0.3700,0.0000
2026-03-26T21:19:15.630419900+00:00,BTC,BUY_DOWN,41.0509,0.4000,0.0000
2026-03-26T21:19:20.810598700+00:00,SOL,BUY_DOWN,10.0160,0.4600,0.0000
2026-03-26T21:19:38.608990100+00:00,XRP,BUY_UP,69.7126,0.6100,0.0000
2026-03-26T21:24:01.305012300+00:00,SOL,CLOSE_Up,10.0160,0.0600,-4.2067
2026-03-26T21:24:01.550448+00:00,XRP,CLOSE_Up,69.7126,0.0700,-20.9138
2026-03-26T21:29:07.282395200+00:00,ETH,DANGER_SELL_Down,57.7974,0.0010,-22.4832
2026-03-26T21:29:16.118907400+00:00,BTC,DANGER_SELL_Down,41.0509,0.0010,-17.2003
2026-03-26T21:30:01.261501200+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T21:30:01.377690400+00:00,ETH,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T21:30:01.492747400+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T21:30:01.596233100+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T21:30:04.251082200+00:00,BTC,BUY_UP,5.0020,0.4900,0.0000
2026-03-26T21:30:04.472815600+00:00,SOL,BUY_UP,20.1288,0.4600,0.0000
2026-03-26T21:30:04.578816700+00:00,XRP,BUY_UP,20.1288,0.4600,0.0000
2026-03-26T21:30:08.659613600+00:00,ETH,BUY_UP,20.1288,0.4600,0.0000
2026-03-26T21:30:34.591485600+00:00,ETH,BUY_DOWN,20.1288,0.5100,0.0000
2026-03-26T21:30:34.833188+00:00,SOL,BUY_DOWN,20.1288,0.5100,0.0000
2026-03-26T21:30:35.049741800+00:00,XRP,BUY_DOWN,20.1288,0.5000,0.0000
2026-03-26T21:30:39.713532800+00:00,BTC,BUY_DOWN,5.0020,0.4800,0.0000
2026-03-26T21:39:01.503788300+00:00,ETH,CLOSE_Down,20.1288,0.1700,-5.8374
2026-03-26T21:39:01.999027400+00:00,XRP,CLOSE_Up,20.1288,0.1000,-8.4541
2026-03-26T21:39:23.573227800+00:00,BTC,CLOSE_Down,5.0020,0.1300,-1.8007
2026-03-26T21:45:01.013492300+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T21:45:01.634277800+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T21:45:01.746080900+00:00,ETH,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T21:45:01.854288300+00:00,SOL,BUY_UP,35.3535,0.4500,0.0000
2026-03-26T21:45:05.006306500+00:00,BTC,BUY_DOWN,10.0160,0.4800,0.0000
2026-03-26T21:45:05.354253500+00:00,XRP,BUY_UP,25.2525,0.4500,0.0000
2026-03-26T21:45:25.593964600+00:00,BTC,BUY_UP,10.0160,0.4400,0.0000
2026-03-26T21:45:25.845114700+00:00,ETH,BUY_UP,5.0020,0.4300,0.0000
2026-03-26T21:47:08.199199700+00:00,ETH,BUY_DOWN,5.0020,0.4800,0.0000
2026-03-26T21:49:06.806287800+00:00,XRP,BUY_DOWN,25.2525,0.4900,0.0000
2026-03-26T21:54:01.531238700+00:00,XRP,CLOSE_Down,25.2525,0.1100,-8.5859
2026-03-26T21:54:02.288393300+00:00,BTC,CLOSE_Down,10.0160,0.1400,-3.6058
2026-03-26T21:55:01.366470500+00:00,SOL,DANGER_SELL_Up,35.3535,0.3400,-3.8889
2026-03-26T21:56:56.971788300+00:00,ETH,CLOSE_Down,5.0020,0.1700,-1.6006
2026-03-26T22:00:01.075519500+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:00:01.269209+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:00:01.377269500+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:00:04.264717300+00:00,BTC,BUY_DOWN,41.0509,0.3900,0.0000
2026-03-26T22:00:04.371476200+00:00,ETH,BUY_DOWN,35.3535,0.4000,0.0000
2026-03-26T22:00:04.480455200+00:00,SOL,BUY_DOWN,5.0020,0.4500,0.0000
2026-03-26T22:00:04.591690400+00:00,XRP,BUY_DOWN,10.0160,0.4900,0.0000
2026-03-26T22:00:11.875253+00:00,BTC,BUY_UP,41.0509,0.5400,0.0000
2026-03-26T22:00:12.191082200+00:00,SOL,BUY_UP,5.0020,0.4700,0.0000
2026-03-26T22:00:15.335622300+00:00,XRP,BUY_UP,10.0160,0.4800,0.0000
2026-03-26T22:00:22.674604900+00:00,ETH,BUY_UP,35.3535,0.4300,0.0000
2026-03-26T22:09:01.494950700+00:00,SOL,CLOSE_Down,5.0020,0.0500,-2.2009
2026-03-26T22:11:11.919365900+00:00,BTC,CLOSE_Up,41.0509,0.1700,-10.2627
2026-03-26T22:11:12.224690300+00:00,ETH,CLOSE_Up,35.3535,0.1500,-10.6061
2026-03-26T22:15:01.604829400+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:15:03.637562900+00:00,ETH,BUY_DOWN,35.3535,0.4400,0.0000
2026-03-26T22:15:03.756643300+00:00,SOL,BUY_DOWN,10.0160,0.4500,0.0000
2026-03-26T22:15:19.979351+00:00,BTC,BUY_DOWN,35.3535,0.4500,0.0000
2026-03-26T22:15:41.134435200+00:00,ETH,BUY_UP,35.3535,0.4500,0.0000
2026-03-26T22:15:41.332017800+00:00,SOL,BUY_UP,10.0160,0.4900,0.0000
2026-03-26T22:15:48.821534+00:00,BTC,BUY_UP,35.3535,0.4500,0.0000
2026-03-26T22:17:38.072264300+00:00,XRP,BUY_DOWN,35.3535,0.4500,0.0000
2026-03-26T22:18:10.482942200+00:00,XRP,BUY_UP,35.3535,0.4400,0.0000
2026-03-26T22:24:02.412687600+00:00,XRP,CLOSE_Down,35.3535,0.1700,-9.8990
2026-03-26T22:24:12.165524800+00:00,BTC,CLOSE_Down,35.3535,0.1700,-9.8990
2026-03-26T22:24:12.415618400+00:00,ETH,CLOSE_Down,35.3535,0.1200,-11.6667
2026-03-26T22:24:15.769637700+00:00,SOL,CLOSE_Down,10.0160,0.1300,-3.7059
2026-03-26T22:30:01.388973400+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:30:01.489247+00:00,ETH,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:30:01.586330+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:30:01.702881800+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:30:04.926604300+00:00,SOL,BUY_UP,10.0160,0.4700,0.0000
2026-03-26T22:30:05.031475900+00:00,XRP,BUY_UP,25.2525,0.4900,0.0000
2026-03-26T22:30:06.549728200+00:00,BTC,BUY_UP,20.1288,0.5200,0.0000
2026-03-26T22:30:06.650498400+00:00,ETH,BUY_UP,10.0160,0.4800,0.0000
2026-03-26T22:30:40.078045500+00:00,BTC,BUY_DOWN,20.1288,0.4400,0.0000
2026-03-26T22:30:48.092710700+00:00,XRP,BUY_DOWN,25.2525,0.4500,0.0000
2026-03-26T22:31:35.660016800+00:00,SOL,BUY_DOWN,10.0160,0.5000,0.0000
2026-03-26T22:33:53.847569500+00:00,ETH,BUY_DOWN,10.0160,0.4800,0.0000
2026-03-26T22:40:43.941172400+00:00,SOL,CLOSE_Up,10.0160,0.1400,-3.6058
2026-03-26T22:41:28.567912800+00:00,ETH,CLOSE_Up,10.0160,0.1700,-3.1050
2026-03-26T22:41:30.096020+00:00,XRP,CLOSE_Up,25.2525,0.1900,-6.5657
2026-03-26T22:41:47.274973900+00:00,BTC,CLOSE_Up,20.1288,0.1400,-6.4412
2026-03-26T22:45:01.203120800+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:45:01.307754200+00:00,ETH,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:45:01.418324100+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T22:45:03.783395+00:00,BTC,BUY_DOWN,5.0020,0.4900,0.0000
2026-03-26T22:45:03.971423200+00:00,SOL,BUY_UP,10.0160,0.5000,0.0000
2026-03-26T22:45:05.649383400+00:00,ETH,BUY_DOWN,5.0020,0.4900,0.0000
2026-03-26T22:45:05.834521300+00:00,XRP,BUY_DOWN,35.3535,0.4500,0.0000
2026-03-26T22:45:14.354276400+00:00,SOL,BUY_DOWN,10.0160,0.4800,0.0000
2026-03-26T22:47:02.512420100+00:00,BTC,BUY_UP,5.0020,0.4500,0.0000
2026-03-26T22:47:02.760652700+00:00,ETH,BUY_UP,5.0020,0.4600,0.0000
2026-03-26T22:47:31.590472200+00:00,XRP,BUY_UP,35.3535,0.4200,0.0000
2026-03-26T22:54:52.831966200+00:00,BTC,CLOSE_Up,5.0020,0.1600,-1.6507
2026-03-26T22:56:24.083321700+00:00,SOL,CLOSE_Up,10.0160,0.1900,-2.9046
2026-03-26T22:56:33.780071400+00:00,XRP,CLOSE_Up,35.3535,0.1900,-9.1919
2026-03-26T23:00:02.117835900+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:00:02.234607600+00:00,ETH,BUY_DOWN,35.3535,0.3900,0.0000
2026-03-26T23:00:02.340046500+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:00:02.459971600+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:00:05.125177100+00:00,SOL,BUY_DOWN,35.6997,0.4100,0.0000
2026-03-26T23:00:05.235172700+00:00,XRP,BUY_DOWN,20.1288,0.4300,0.0000
2026-03-26T23:00:07.746512800+00:00,BTC,BUY_UP,57.7974,0.5900,0.0000
2026-03-26T23:00:09.685560300+00:00,BTC,BUY_DOWN,57.7974,0.3900,0.0000
2026-03-26T23:07:02.852097500+00:00,XRP,BUY_UP,20.1288,0.5200,0.0000
2026-03-26T23:07:17.202888700+00:00,SOL,BUY_UP,35.6997,0.5100,0.0000
2026-03-26T23:08:55.511515600+00:00,ETH,BUY_UP,35.3535,0.4400,0.0000
2026-03-26T23:09:58.078644900+00:00,XRP,CLOSE_Down,20.1288,0.1800,-6.8438
2026-03-26T23:11:16.927328900+00:00,ETH,CLOSE_Down,35.3535,0.1700,-9.8990
2026-03-26T23:11:18.419422100+00:00,BTC,CLOSE_Down,57.7974,0.1800,-23.6969
2026-03-26T23:12:02.340858+00:00,SOL,CLOSE_Down,35.6997,0.2000,-12.4949
2026-03-26T23:15:01.124412600+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:15:01.251146+00:00,ETH,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:15:01.347435+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:15:01.438824+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:15:03.829548900+00:00,BTC,BUY_DOWN,15.0542,0.4600,0.0000
2026-03-26T23:15:03.927080300+00:00,ETH,BUY_DOWN,10.0160,0.4800,0.0000
2026-03-26T23:15:04.020171700+00:00,SOL,BUY_UP,5.0020,0.4900,0.0000
2026-03-26T23:15:04.115340700+00:00,XRP,BUY_DOWN,10.0160,0.4800,0.0000
2026-03-26T23:15:16.729707+00:00,BTC,BUY_UP,15.0542,0.5100,0.0000
2026-03-26T23:15:30.549327600+00:00,ETH,BUY_UP,10.0160,0.4500,0.0000
2026-03-26T23:15:30.840341600+00:00,XRP,BUY_UP,10.0160,0.4600,0.0000
2026-03-26T23:18:00.793920+00:00,SOL,BUY_DOWN,5.0020,0.4900,0.0000
2026-03-26T23:24:01.687254400+00:00,BTC,CLOSE_Down,15.0542,0.1500,-5.4195
2026-03-26T23:24:01.961334200+00:00,ETH,CLOSE_Down,10.0160,0.1300,-3.7059
2026-03-26T23:24:15.223322500+00:00,SOL,CLOSE_Down,5.0020,0.1500,-1.7007
2026-03-26T23:24:18.982295200+00:00,XRP,CLOSE_Down,10.0160,0.1400,-3.4054
2026-03-26T23:30:01.604480800+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:30:01.707221200+00:00,ETH,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:30:01.810935900+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:30:01.915857600+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:30:04.365634800+00:00,BTC,BUY_DOWN,20.1288,0.4600,0.0000
2026-03-26T23:30:04.469522400+00:00,ETH,BUY_DOWN,25.2525,0.4500,0.0000
2026-03-26T23:30:04.656710500+00:00,XRP,BUY_DOWN,10.0160,0.5000,0.0000
2026-03-26T23:30:12.279962300+00:00,BTC,BUY_UP,20.1288,0.5200,0.0000
2026-03-26T23:30:12.573152500+00:00,SOL,BUY_UP,20.1288,0.5100,0.0000
2026-03-26T23:30:12.673089900+00:00,XRP,BUY_UP,10.0160,0.4800,0.0000
2026-03-26T23:30:20.224495900+00:00,ETH,BUY_UP,25.2525,0.5300,0.0000
2026-03-26T23:39:01.976906+00:00,ETH,CLOSE_Down,25.2525,0.1100,-10.6061
2026-03-26T23:39:36.888886300+00:00,XRP,CLOSE_Down,10.0160,0.1700,-3.1050
2026-03-26T23:40:12.398434300+00:00,SOL,DANGER_SELL_Up,20.1288,0.0500,-9.4605
2026-03-26T23:45:01.083237600+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:45:01.191038700+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:45:01.913046900+00:00,ETH,EXPIRED,0.0000,0.0000,0.0000
2026-03-26T23:45:03.576083900+00:00,SOL,BUY_DOWN,5.0020,0.4900,0.0000
2026-03-26T23:45:03.669998400+00:00,XRP,BUY_DOWN,25.2525,0.4500,0.0000
2026-03-26T23:45:07.565335200+00:00,ETH,BUY_UP,41.0509,0.5500,0.0000
2026-03-26T23:45:13.836820700+00:00,BTC,BUY_UP,35.3535,0.4500,0.0000
2026-03-26T23:45:14.145135800+00:00,XRP,BUY_UP,25.2525,0.5300,0.0000
2026-03-26T23:46:33.173415100+00:00,ETH,BUY_DOWN,41.0509,0.4200,0.0000
2026-03-26T23:46:34.155392800+00:00,BTC,BUY_DOWN,35.3535,0.4300,0.0000
2026-03-26T23:47:50.304010400+00:00,SOL,BUY_UP,5.0020,0.4500,0.0000
2026-03-26T23:54:01.717633500+00:00,BTC,CLOSE_Up,35.3535,0.1300,-11.3131
2026-03-26T23:54:02.191898+00:00,SOL,CLOSE_Up,5.0020,0.1500,-1.7007
2026-03-26T23:54:02.458100600+00:00,XRP,CLOSE_Up,25.2525,0.0600,-9.8485
2026-03-26T23:56:47.048138400+00:00,ETH,CLOSE_Up,41.0509,0.1700,-10.2627
2026-03-27T00:00:01.250608800+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-27T00:00:01.347814600+00:00,ETH,EXPIRED,0.0000,0.0000,0.0000
2026-03-27T00:00:01.448011600+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-27T00:00:01.557630+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-27T00:00:03.997218900+00:00,BTC,BUY_DOWN,10.0160,0.4900,0.0000
2026-03-27T00:00:04.102659800+00:00,ETH,BUY_DOWN,10.0160,0.4600,0.0000
2026-03-27T00:00:04.203629500+00:00,SOL,BUY_DOWN,10.0160,0.4800,0.0000
2026-03-27T00:00:05.229728400+00:00,XRP,BUY_DOWN,10.0160,0.5000,0.0000
2026-03-27T00:00:14.668585500+00:00,BTC,BUY_UP,10.0160,0.4700,0.0000
2026-03-27T00:00:14.874873900+00:00,ETH,BUY_UP,10.0160,0.4700,0.0000
2026-03-27T00:00:16.225145300+00:00,SOL,BUY_UP,10.0160,0.4800,0.0000
2026-03-27T00:00:40.593474+00:00,XRP,BUY_UP,10.0160,0.4500,0.0000
2026-03-27T00:09:01.444133+00:00,BTC,CLOSE_Up,10.0160,0.1200,-3.8061
2026-03-27T00:09:01.707690900+00:00,ETH,CLOSE_Up,10.0160,0.0300,-4.7075
2026-03-27T00:09:02.202110700+00:00,XRP,CLOSE_Up,10.0160,0.1400,-3.6058
2026-03-27T00:09:09.764754300+00:00,SOL,CLOSE_Up,10.0160,0.1800,-3.0048
2026-03-27T00:15:01.870970400+00:00,BTC,EXPIRED,0.0000,0.0000,0.0000
2026-03-27T00:15:01.977344100+00:00,ETH,EXPIRED,0.0000,0.0000,0.0000
2026-03-27T00:15:02.088324400+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000
2026-03-27T00:15:02.203000300+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-27T00:15:04.608815+00:00,BTC,BUY_UP,10.0160,0.4800,0.0000
2026-03-27T00:15:04.705021500+00:00,ETH,BUY_UP,25.2525,0.4500,0.0000
2026-03-27T00:15:04.800244100+00:00,SOL,BUY_UP,5.0020,0.4900,0.0000
2026-03-27T00:15:04.898626+00:00,XRP,BUY_UP,15.0542,0.4600,0.0000
2026-03-27T00:15:11.098208+00:00,XRP,BUY_DOWN,15.0542,0.5100,0.0000
2026-03-27T00:17:52.260974300+00:00,ETH,BUY_DOWN,25.2525,0.5300,0.0000
2026-03-27T00:18:10.797514+00:00,BTC,BUY_DOWN,10.0160,0.5000,0.0000
2026-03-27T00:18:11.254184300+00:00,SOL,BUY_DOWN,5.0020,0.4900,0.0000
2026-03-27T00:24:01.446488800+00:00,BTC,CLOSE_Down,10.0160,0.0400,-4.4071
2026-03-27T00:24:01.685186700+00:00,ETH,CLOSE_Down,25.2525,0.0300,-10.6061
