timestamp,asset,action,shares,price,pnl
2026-03-29T11:00:03.167997500+00:00,ETH,BUY_DOWN,202.0202,0.4100,0.0000
2026-03-29T11:00:04.001901300+00:00,BTC,BUY_DOWN,217.1717,0.4500,0.0000
2026-03-29T11:00:24.410775400+00:00,ETH,BUY_UP,202.0202,0.4400,0.0000
2026-03-29T11:00:29.798721600+00:00,XRP,BUY_UP,151.5152,0.4500,0.0000
2026-03-29T11:00:59.887422800+00:00,SOL,BUY_DOWN,166.6667,0.4300,0.0000
2026-03-29T11:01:37.762645800+00:00,XRP,BUY_DOWN,151.5152,0.4100,0.0000
2026-03-29T11:15:00.517721100+00:00,BTC,BUY_UP,458.7804,0.4500,0.0000
2026-03-29T11:15:00.622738500+00:00,ETH,BUY_UP,202.0202,0.4500,0.0000
2026-03-29T11:15:00.721973800+00:00,SOL,BUY_UP,310.0198,0.4500,0.0000
2026-03-29T11:15:00.821447+00:00,XRP,BUY_UP,151.5152,0.4500,0.0000
2026-03-29T11:20:26.947666200+00:00,ETH,BUY_DOWN,202.0202,0.4400,0.0000
2026-03-29T11:20:49.653638500+00:00,BTC,BUY_DOWN,458.7804,0.2300,0.0000
2026-03-29T11:21:00.376318100+00:00,SOL,BUY_DOWN,310.0198,0.2800,0.0000
2026-03-29T11:30:00.675737+00:00,BTC,BUY_UP,217.1717,0.4300,0.0000
2026-03-29T11:30:00.775744600+00:00,ETH,BUY_UP,202.0202,0.4400,0.0000
2026-03-29T11:30:00.979072800+00:00,XRP,BUY_DOWN,267.8571,0.5600,0.0000
2026-03-29T11:31:01.793582200+00:00,SOL,BUY_DOWN,166.6667,0.4400,0.0000
2026-03-29T11:31:06.975602300+00:00,ETH,BUY_DOWN,202.0202,0.4500,0.0000
2026-03-29T11:33:51.891889+00:00,SOL,BUY_UP,166.6667,0.3100,0.0000
2026-03-29T11:38:11.240277500+00:00,BTC,BUY_DOWN,217.1717,0.4500,0.0000
2026-03-29T11:45:00.369066500+00:00,BTC,BUY_UP,217.1717,0.4200,0.0000
2026-03-29T11:45:00.469266300+00:00,ETH,BUY_UP,202.0202,0.4300,0.0000
2026-03-29T11:45:00.571849900+00:00,SOL,BUY_UP,166.6667,0.4400,0.0000
2026-03-29T11:45:00.675849200+00:00,XRP,BUY_UP,482.7236,0.4700,0.0000
2026-03-29T11:46:24.843415900+00:00,SOL,BUY_DOWN,166.6667,0.4400,0.0000
2026-03-29T11:46:32.292399700+00:00,ETH,BUY_DOWN,202.0202,0.4200,0.0000
2026-03-29T12:00:00.350771100+00:00,BTC,BUY_DOWN,458.7804,0.5200,0.0000
2026-03-29T12:00:00.700123700+00:00,XRP,DANGER_ABANDONED_Up,482.7236,0.0000,-347.5610
2026-03-29T12:00:01.820848500+00:00,XRP,EXPIRED,0.0000,0.0000,0.0000
2026-03-29T12:00:05.882249200+00:00,ETH,BUY_UP,202.0202,0.4500,0.0000
2026-03-29T12:00:55.561079800+00:00,ETH,BUY_DOWN,202.0202,0.4500,0.0000
2026-03-29T12:01:09.124272100+00:00,SOL,BUY_DOWN,166.6667,0.4500,0.0000
2026-03-29T12:04:18.948649900+00:00,SOL,BUY_UP,166.6667,0.4500,0.0000
2026-03-29T12:08:09.199298200+00:00,BTC,BUY_UP,458.7804,0.2200,0.0000
2026-03-29T12:15:00.551455600+00:00,BTC,BUY_DOWN,66.2109,0.4500,0.0000
2026-03-29T12:15:14.224589300+00:00,XRP,BUY_UP,46.1936,0.4100,0.0000
2026-03-29T12:15:23.842275500+00:00,XRP,BUY_DOWN,46.1936,0.4500,0.0000
2026-03-29T12:15:30.047907500+00:00,BTC,BUY_UP,66.2109,0.3900,0.0000
2026-03-29T12:15:30.254325500+00:00,ETH,BUY_UP,61.5915,0.3900,0.0000
2026-03-29T12:15:45.921932900+00:00,SOL,BUY_UP,50.8130,0.4100,0.0000
2026-03-29T12:16:54.718832200+00:00,SOL,BUY_DOWN,50.8130,0.4500,0.0000
2026-03-29T12:18:05.508197200+00:00,ETH,BUY_DOWN,61.5915,0.4500,0.0000
2026-03-29T12:30:04.969635500+00:00,BTC,BUY_DOWN,66.2109,0.4400,0.0000
2026-03-29T12:30:25.189423600+00:00,ETH,BUY_DOWN,61.5915,0.4400,0.0000
2026-03-29T12:30:25.296182400+00:00,SOL,BUY_DOWN,50.8130,0.4400,0.0000
2026-03-29T12:30:59.836887500+00:00,XRP,BUY_DOWN,46.1936,0.4500,0.0000
2026-03-29T12:33:03.303983400+00:00,BTC,BUY_UP,66.2109,0.3900,0.0000
2026-03-29T12:33:03.672628100+00:00,XRP,BUY_UP,46.1936,0.4400,0.0000
2026-03-29T12:33:10.599569900+00:00,ETH,BUY_UP,61.5915,0.4500,0.0000
2026-03-29T12:33:24.282120900+00:00,SOL,BUY_UP,50.8130,0.4400,0.0000
