timestamp,asset,action,shares,price,cost,pnl
2026-05-01T20:07:02.452771100+00:00,ETH,BUY_UP,202.0202,0.4200,84.8485,0.0000
2026-05-01T20:07:03.492933600+00:00,SOL,BUY_UP,166.6667,0.2900,48.3333,0.0000
2026-05-01T20:07:04.673040500+00:00,XRP,BUY_UP,151.5152,0.1100,16.6667,0.0000
2026-05-01T20:07:05.292947200+00:00,BTC,BUY_UP,217.1717,0.3700,80.3535,0.0000
2026-05-01T20:15:00.768868900+00:00,BTC,BUY_DOWN,458.7804,0.4600,211.0390,0.0000
2026-05-01T20:15:00.865481900+00:00,ETH,BUY_DOWN,400.0000,0.4900,196.0000,0.0000
2026-05-01T20:15:00.968732900+00:00,SOL,BUY_DOWN,310.0198,0.4800,148.8095,0.0000
2026-05-01T20:15:01.077713400+00:00,XRP,BUY_DOWN,267.8571,0.5000,133.9286,0.0000
2026-05-01T20:18:02.518627600+00:00,ETH,BUY_UP,400.0000,0.2300,92.0000,0.0000
2026-05-01T20:18:02.680658700+00:00,ETH,CLOSE_Down,400.0000,0.2300,92.0000,-8.0000
2026-05-01T20:18:17.479641500+00:00,BTC,BUY_UP,458.7804,0.2100,96.3439,0.0000
2026-05-01T20:18:17.663496+00:00,BTC,CLOSE_Down,458.7804,0.2100,96.3439,-9.1756
2026-05-01T20:18:33.343801800+00:00,XRP,BUY_UP,267.8571,0.2800,75.0000,0.0000
2026-05-01T20:18:34.535929600+00:00,XRP,CLOSE_Down,267.8571,0.2500,66.9643,-13.3929
2026-05-01T20:30:00.481365300+00:00,BTC,BUY_DOWN,203.8945,0.4400,89.7136,0.0000
2026-05-01T20:30:00.590718700+00:00,ETH,BUY_DOWN,189.6693,0.4400,83.4545,0.0000
2026-05-01T20:30:00.695565300+00:00,SOL,BUY_UP,623.8293,0.5400,336.8678,0.0000
2026-05-01T20:30:36.575321300+00:00,ETH,BUY_UP,189.6693,0.4500,85.3512,0.0000
2026-05-01T20:31:48.918913500+00:00,XRP,BUY_DOWN,142.2520,0.4300,61.1684,0.0000
2026-05-01T20:34:37.363791700+00:00,BTC,BUY_UP,203.8945,0.4400,89.7136,0.0000
2026-05-01T20:34:51.965998800+00:00,ETH,CLOSE_Down,189.6693,0.3100,58.7975,-26.5537
2026-05-01T20:35:06.096278+00:00,BTC,CLOSE_Down,203.8945,0.3100,63.2073,-28.5452
2026-05-01T20:38:34.561116700+00:00,XRP,BUY_UP,142.2520,0.4200,59.7458,0.0000
2026-05-01T20:39:24.026445500+00:00,XRP,CLOSE_Down,142.2520,0.3000,42.6756,-21.3378
2026-05-01T20:45:00.400130800+00:00,BTC,BUY_DOWN,170.6947,0.4300,73.3987,0.0000
2026-05-01T20:45:00.515144300+00:00,ETH,BUY_DOWN,158.7858,0.4300,68.2779,0.0000
2026-05-01T20:45:00.719429900+00:00,SOL,DANGER_ABANDONED_Up,623.8293,0.0000,0.0000,-474.1103
2026-05-01T20:45:00.828007100+00:00,XRP,BUY_DOWN,119.0893,0.4300,51.2084,0.0000
2026-05-01T20:45:01.664534200+00:00,SOL,EXPIRED,0.0000,0.0000,0.0000,0.0000
2026-05-01T20:49:14.107790300+00:00,ETH,BUY_UP,158.7858,0.4200,66.6900,0.0000
2026-05-01T20:49:58.832498600+00:00,BTC,BUY_UP,170.6947,0.4500,76.8126,0.0000
2026-05-01T20:52:09.089397100+00:00,ETH,CLOSE_Down,158.7858,0.3000,47.6357,-23.8179
2026-05-01T20:52:14.732920400+00:00,XRP,BUY_UP,119.0893,0.4500,53.5902,0.0000
2026-05-01T20:52:16.678553800+00:00,BTC,CLOSE_Down,170.6947,0.2800,47.7945,-29.0181
2026-05-01T20:52:17.016275200+00:00,XRP,CLOSE_Down,119.0893,0.3100,36.9177,-16.6725
2026-05-01T21:00:00.138310500+00:00,BTC,BUY_DOWN,1.0000,0.4100,0.4100,0.0000
2026-05-01T21:00:00.245440600+00:00,ETH,BUY_DOWN,1.0000,0.4300,0.4300,0.0000
2026-05-01T21:00:00.443843200+00:00,XRP,BUY_DOWN,1.0000,0.4300,0.4300,0.0000
2026-05-01T21:00:05.952854400+00:00,SOL,BUY_DOWN,1.0000,0.4500,0.4500,0.0000
2026-05-01T21:08:12.284714100+00:00,SOL,BUY_UP,1.0000,0.3900,0.3900,0.0000
2026-05-01T21:08:15.285904500+00:00,SOL,CLOSE_Down,1.0000,0.3200,0.3200,-0.1300
2026-05-01T21:15:00.277098500+00:00,BTC,BUY_DOWN,1.0000,0.4500,0.4500,0.0000
2026-05-01T21:15:00.378180700+00:00,ETH,BUY_DOWN,1.0000,0.4300,0.4300,0.0000
2026-05-01T21:15:57.660538100+00:00,SOL,BUY_UP,1.0000,0.4200,0.4200,0.0000
2026-05-01T21:17:20.255973200+00:00,SOL,BUY_DOWN,1.0000,0.4500,0.4500,0.0000
2026-05-01T21:17:31.796919200+00:00,XRP,BUY_DOWN,1.0000,0.4500,0.4500,0.0000
2026-05-01T21:19:28.453516900+00:00,SOL,CLOSE_Up,1.0000,0.3200,0.3200,-0.1300
2026-05-01T21:30:00.327542200+00:00,BTC,BUY_DOWN,1.0000,0.4300,0.4300,0.0000
2026-05-01T21:30:40.542195500+00:00,SOL,BUY_DOWN,1.0000,0.4500,0.4500,0.0000
2026-05-01T21:30:40.643332600+00:00,XRP,BUY_DOWN,1.0000,0.4300,0.4300,0.0000
2026-05-01T21:31:03.236925100+00:00,ETH,BUY_DOWN,1.0000,0.4300,0.4300,0.0000
2026-05-01T21:45:00.479118700+00:00,ETH,BUY_DOWN,1.0000,0.4300,0.4300,0.0000
2026-05-01T21:45:06.241220700+00:00,SOL,BUY_DOWN,1.0000,0.4400,0.4400,0.0000
2026-05-01T21:45:08.834177400+00:00,XRP,BUY_DOWN,1.0000,0.4500,0.4500,0.0000
2026-05-01T21:46:21.538696800+00:00,BTC,BUY_DOWN,1.0000,0.4500,0.4500,0.0000
2026-05-01T21:47:03.869392300+00:00,XRP,BUY_UP,1.0000,0.4500,0.4500,0.0000
